date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-03-31 23:49:49,Eftelmuts,,0,1,0,"Morgen naar de #efteling met @013TOM om een te kijken naar de vernieuwde #piraña.",,@013TOM,#efteling #piraña,450782045242138624,https://twitter.com/Eftelmuts/status/450782045242138624
2014-03-31 23:47:06,P2000013,,0,0,0,"A1 5014LR 60 : PADUA PAUS ADRIAANSTRAAT 60 PADUA TILBURG 23587 http://watiserloos.in/melding/8441869/ … #p2000",,,#p2000,450781360714940416,https://twitter.com/P2000013/status/450781360714940416
2014-03-31 23:30:03,P2000013,,0,0,0,"PRIO 1 6735 UNIVERSO HOUTOPSLAG GESWORENHOEKSEWEG 5 TILBURG (TIL282) Br OMS (INC: 08) http://watiserloos.in/melding/8441848/ … #p2000",,,#p2000,450777071900700672,https://twitter.com/P2000013/status/450777071900700672
2014-03-31 23:20:11,Anjola24,jochemvang,0,0,0,"@jochemvang @RTLLateNight waarom dan?",,@jochemvang @RTLLateNight,,450774586813325312,https://twitter.com/Anjola24/status/450774586813325312
2014-03-31 23:18:21,biebersproud_,,0,0,0,"- Goodnight love you all.",,,,450774125267922944,https://twitter.com/biebersproud_/status/450774125267922944
2014-03-31 23:05:25,biebersproud_,,0,0,0,"- HAHAHAHAHAHA t is 1 april xd.",,,,450770872610353152,https://twitter.com/biebersproud_/status/450770872610353152
2014-03-31 22:49:06,AhmetduranAkan,farukbeser,0,0,0,"@farukbeser Gozum de gonlumde yalniz rizai ilahiye duanada amin diyorum keske sende hoca efendinin duasina amin diye bilseydiniz",,@farukbeser,,450766767951204352,https://twitter.com/AhmetduranAkan/status/450766767951204352
2014-03-31 22:45:56,Well_Okay_Than,,0,0,0,"Goodnight",,,,450765968638504960,https://twitter.com/Well_Okay_Than/status/450765968638504960
2014-03-31 22:45:25,IkLevanii,,0,0,0,"Moeder maakt grap met zoon/dochter #1April.pic.twitter.com/GNS7lfri54",,,#1April,450765839525240832,https://twitter.com/IkLevanii/status/450765839525240832
2014-03-31 22:45:20,Well_Okay_Than,,0,0,0,"Morgen engels mondeling .. Worried ..",,,,450765819254145024,https://twitter.com/Well_Okay_Than/status/450765819254145024
2014-03-31 22:44:55,Well_Okay_Than,,0,0,0,"So done studying . Need some sleep",,,,450765712559472640,https://twitter.com/Well_Okay_Than/status/450765712559472640
2014-03-31 22:43:32,IkLevanii,,0,0,0,"Doe mij er maar een ;) truste people of the internet, and see u. #Wauw.pic.twitter.com/1kBOwaRSRC",,,#Wauw,450765365950562304,https://twitter.com/IkLevanii/status/450765365950562304
2014-03-31 22:38:14,steurtje,gjharberink,0,0,0,"@gjharberink de volgende keer wordt historisch en hilarisch. Met dank aan @RemcovanBuren :-) Morgen meer info! #smc013",,@gjharberink @RemcovanBuren,#smc013,450764029909557248,https://twitter.com/steurtje/status/450764029909557248
2014-03-31 22:35:28,xLaChristiana,,0,0,0,"Was weer gezellig met mn booboo's nu lekker slapen goodnight xx",,,,450763335785795584,https://twitter.com/xLaChristiana/status/450763335785795584
2014-03-31 22:30:25,xMelissa013,,0,0,0,"Val dalijk in slaap ...",,,,450762063900839936,https://twitter.com/xMelissa013/status/450762063900839936
2014-03-31 22:29:20,Evelien117,,0,0,0,"Er zit een kikker in je bil! @irisvanels @fleurvdwetering #1april",,@irisvanels @fleurvdwetering,#1april,450761792286097408,https://twitter.com/Evelien117/status/450761792286097408
2014-03-31 22:16:45,xMelissa013,,0,0,0,"Ja dit kan er nog wel bij, me rug doet al z'n pijn..",,,,450758625360093184,https://twitter.com/xMelissa013/status/450758625360093184
2014-03-31 22:07:06,Roestelberg,,0,0,0,"Een goed begin is het halve werk toch! Deze week wordt fantastisch, ja toch?",,,,450756194429591552,https://twitter.com/Roestelberg/status/450756194429591552
