date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-01-28 23:46:40,dezaakdesign,lab51ecommerce,0,0,0,"@schepnet @VandeVenBouw Popelen!!",,@schepnet @VandeVenBouw,,560584776210710528,https://twitter.com/dezaakdesign/status/560584776210710528
2015-01-28 23:41:39,dezaakdesign,architonic,0,0,0,"@architonic order @dezaakdesign http://www.dezaakdesign.com",,@architonic @dezaakdesign,,560583515704922113,https://twitter.com/dezaakdesign/status/560583515704922113
2015-01-28 23:18:43,TinevandeWeyer,,0,0,1,"Bijzonder prachtig concert @Concertzaal @Tilburg met @philzuid en @ronaldbrautigam. Wat een superieur orkest!",,@Concertzaal @Tilburg @philzuid @ronaldbrautigam,,560577741100433408,https://twitter.com/TinevandeWeyer/status/560577741100433408
2015-01-28 23:06:32,michieljurrjens,,0,1,2,"Je nieuwe single is fijn, @DotanMusic :)pic.twitter.com/1TmQqtTL8s",,@DotanMusic,,560574675613659137,https://twitter.com/michieljurrjens/status/560574675613659137
2015-01-28 22:59:28,P2000013,,0,0,0,"(Directe Inzet: A2 5038KB 367 : Flat WMBR Lift Boksdoornerf 367 Flat WMBR Lift Tilburg 7544 http://watiserloos.in/melding/9785879/ … #p2000",,,#p2000,560572899762118656,https://twitter.com/P2000013/status/560572899762118656
2015-01-28 22:39:55,stephankienhuis,janrot,2,0,0,"@janrot sadisme ten top. Andersom voelt ook slecht, trouwens. Mss iets te maken met knikkers vs spel?",,@janrot,,560567977255653377,https://twitter.com/stephankienhuis/status/560567977255653377
2015-01-28 22:34:35,P2000013,,0,0,0,"PRIO 1 6733 Villa Luchesio Bredaseweg 233 Tilburg (TIL198) Br OMS (INC: 08) http://watiserloos.in/melding/9785841/ … #p2000",,,#p2000,560566634700865537,https://twitter.com/P2000013/status/560566634700865537
2015-01-28 22:31:23,Tilburgmassage,,0,0,0,"Wil jij jezelf na een week van stress weer herboren voelen? Wil jij optimaal (leren) ontspannen? Wil… http://instagram.com/p/yahsJAn4eH/",,,,560565828681482241,https://twitter.com/Tilburgmassage/status/560565828681482241
2015-01-28 22:31:01,Tilburgmassage,,0,0,0,"Wil jij jezelf na een week van stress weer herboren voelen? Wil jij optimaal (leren) ontspannen? Wil… http://instagram.com/p/yahpjUn4eC/",,,,560565739514781697,https://twitter.com/Tilburgmassage/status/560565739514781697
2015-01-28 22:24:18,bososs,,0,1,0,"@KarinStraus ""de toets zorgt ervoor dat er urgentie voor rekenen is en blijft"". Toetsen maakt leren en leven belangrijk wat een schraalheid",,@KarinStraus,,560564048962801664,https://twitter.com/bososs/status/560564048962801664
2015-01-28 22:23:25,JudithLeijtens,RO24_nl,0,0,0,"@RO24_nl @STRATO_NL balen! Hopelijk inmiddels opgelost? #wekunnennietszondermail",,@RO24_nl @STRATO_NL,#wekunnennietszondermail,560563826186547200,https://twitter.com/JudithLeijtens/status/560563826186547200
2015-01-28 22:20:59,bososs,,1,1,0,"Ah met een 4,5 heb je al een voldoende; komt het toch allemaal goed",,,,560563211385470977,https://twitter.com/bososs/status/560563211385470977
2015-01-28 22:19:06,AnneMaas99,,0,0,0,"Slapen os op se een of andere manier onmogelijk",,,,560562740667097090,https://twitter.com/AnneMaas99/status/560562740667097090
2015-01-28 22:18:31,bososs,,0,1,0,"O jee transitiefase, in ontwikkeling.... #rekentoets maar we rekenen er fijn wel op af #jinek",,,#rekentoets #jinek,560562591282778112,https://twitter.com/bososs/status/560562591282778112
2015-01-28 22:16:50,JudithLeijtens,Emerce,0,0,0,"Groep oudere Facebook-gebruikers groeit (via @Emerce : ""Facebook groeit, maar verliest tieners"") http://bit.ly/15QUWET #socialmedia",,@Emerce,#socialmedia,560562168178147329,https://twitter.com/JudithLeijtens/status/560562168178147329
2015-01-28 22:15:55,bososs,CasperHuls,1,0,0,"“ @Titchener: @jelmerevers @woutervj @Anja_Vink Je zult als politicus toch zoiets moeten verdedigen.” Moet je dus niet willen ;-)",,@Titchener @jelmerevers @woutervj @Anja_Vink,,560561938447745024,https://twitter.com/bososs/status/560561938447745024
2015-01-28 22:11:45,bososs,,0,0,0,"@KarinStraus stelt de rekenvaardigheid die je nodig hebt om je plek in de maatschappij te verwerven #jinek veel plekloze mensen vrees ik...",,@KarinStraus,#jinek,560560889724932096,https://twitter.com/bososs/status/560560889724932096
2015-01-28 22:01:52,vvdongen,,0,1,0,"Eindstand #vvdongen A1- #NAC A1 2-1 #oefenen",,,#vvdongen #NAC #oefenen,560558404553678848,https://twitter.com/vvdongen/status/560558404553678848
2015-01-28 21:57:48,Capibaro,,1,0,0,"Panoramazaal (at @Interpolis in Tilburg, Noord-Brabant) https://www.swarmapp.com/c/6ZxATjgT91Y pic.twitter.com/RjqgR42ZX4",,@Interpolis,,560557380472430592,https://twitter.com/Capibaro/status/560557380472430592
2015-01-28 21:55:02,P2000013,,0,0,0,"A1 5042EH 6 : Traverse Reitse Hoevenstraat 6 Traverse Tilburg 7540 http://watiserloos.in/melding/9785735/ … #p2000",,,#p2000,560556683735613442,https://twitter.com/P2000013/status/560556683735613442
2015-01-28 21:50:57,RobJonkers1,,0,3,0,"Tweede dag @abtuin huisbeurs was echt heel druk bezocht! @4EverHortensia",,@abtuin @4EverHortensia,,560555653958492160,https://twitter.com/RobJonkers1/status/560555653958492160
2015-01-28 21:50:41,_Asjaax,,0,0,0,"Slapenn.",,,,560555587017396226,https://twitter.com/_Asjaax/status/560555587017396226
2015-01-28 21:50:07,suzan1992,,0,0,0,"@RTLLateNight Doen ze dit niet ook bij homeopathie ? #rtlln #durftevragen",,@RTLLateNight,#rtlln #durftevragen,560555446109732864,https://twitter.com/suzan1992/status/560555446109732864
2015-01-28 21:34:26,SjoerdMaresch,,0,1,0,"Gaat lekker met teletekst.. #grovit. Eerst past de opstelling niet, later staat het 3-0 met 4 doelpuntenmakers..pic.twitter.com/WXo7kUp3uC",,,#grovit,560551497034137600,https://twitter.com/SjoerdMaresch/status/560551497034137600
2015-01-28 21:32:45,P2000013,,0,0,0,"A1 45 : Primus van Gilspark 45 Tilburg 7537 http://watiserloos.in/melding/9785690/ … #p2000",,,#p2000,560551073413599232,https://twitter.com/P2000013/status/560551073413599232
2015-01-28 21:32:44,P2000013,,0,0,0,"A1 45 : Primus van Gilspark 45 Tilburg 7537 http://watiserloos.in/melding/9785689/ … #p2000",,,#p2000,560551071220006913,https://twitter.com/P2000013/status/560551071220006913
2015-01-28 21:30:55,P2000013,,0,0,0,"(Directe Inzet: A1 : Hasseltrotonde Tilburg 7536 http://watiserloos.in/melding/9785682/ … #p2000",,,#p2000,560550611822084097,https://twitter.com/P2000013/status/560550611822084097
2015-01-28 21:28:57,P2000013,,0,0,0,"PRIO 1 Letsel Tilburg Hasseltrotonde http://watiserloos.in/melding/9785671/ … #p2000",,,#p2000,560550118399946752,https://twitter.com/P2000013/status/560550118399946752
2015-01-28 21:28:36,P2000013,,0,0,0,"PRIO 1 6869 6735 6770 Hasseltrotonde Tilburg Letsel (Beknelling: ) http://watiserloos.in/melding/9785670/ … #p2000",,,#p2000,560550030072094720,https://twitter.com/P2000013/status/560550030072094720
2015-01-28 21:28:29,P2000013,,0,0,0,"(Directe Inzet: A1 : Hasseltrotonde Tilburg 7535 http://watiserloos.in/melding/9785669/ … #p2000",,,#p2000,560550000305119233,https://twitter.com/P2000013/status/560550000305119233
2015-01-28 21:27:59,KeesvanRhijn,mayaVirg,1,0,0,"@mayaVirg LOL kaarsen? Een zonsverduistering is meestal overdag.",,@mayaVirg,,560549875239370754,https://twitter.com/KeesvanRhijn/status/560549875239370754
2015-01-28 21:25:53,SjoerdMaresch,,1,1,0,"Ik snap wel dat je 4-0 achterstaat als je met 8 man speelt en dan ook nog eens een rode kaart pakt.. #grovit #Vitessepic.twitter.com/OMe8NKUlO1",,,#grovit #Vitessepic,560549345263910912,https://twitter.com/SjoerdMaresch/status/560549345263910912
2015-01-28 21:25:16,Lelo3103,,0,0,0,"Treinongeval Oisterwijk http://www.oisterwijknieuws.nl/2015/01/treinongeval-oisterwijk/ …",,,,560549190246604800,https://twitter.com/Lelo3103/status/560549190246604800
2015-01-28 21:19:19,PascalleWinde,,0,0,0,"@radio538_nl #Ariana #ArianaGrande #radio538 ik wil zo graag kaarten winnen!!!",,@radio538_nl,#Ariana #ArianaGrande #radio538,560547692691357697,https://twitter.com/PascalleWinde/status/560547692691357697
2015-01-28 21:11:16,koendejong1976,,0,0,0,"Toch maar eens serieus overwegen #gezelligheidpic.twitter.com/7qNBhvj7ai",,,#gezelligheidpic,560545668729937921,https://twitter.com/koendejong1976/status/560545668729937921
2015-01-28 21:08:23,mignonjuwelier,,0,0,0,"#handmade #bracelet #mymignon #instajewels #silverjewels #silver #lifestyle #dutch eyecandy… http://instagram.com/p/yaYMRcRyFf/",,,#handmade #bracelet #mymignon #instajewels #silverjewels #silver #lifestyle #dutch,560544941890629633,https://twitter.com/mignonjuwelier/status/560544941890629633
2015-01-28 21:05:16,AhmetduranAkan,,0,0,0,"pic.twitter.com/7GUjw2SSAh",,,,560544160449830914,https://twitter.com/AhmetduranAkan/status/560544160449830914
2015-01-28 21:00:15,mignonjuwelier,,0,0,0,"Bekertjesmos #bracelet in #brasse and #silver #handmade #armparty #armcandy #silverjewels… http://instagram.com/p/yaXQsLRyDw/",,,#bracelet #brasse #silver #handmade #armparty #armcandy #silverjewels,560542895158341632,https://twitter.com/mignonjuwelier/status/560542895158341632
2015-01-28 20:48:56,P2000013,,0,0,0,"(Directe Inzet: A2 5038XG 225 : Piusstraat 225 Tilburg 7529 http://watiserloos.in/melding/9785552/ … #p2000",,,#p2000,560540050178711552,https://twitter.com/P2000013/status/560540050178711552
2015-01-28 20:37:49,bososs,,0,2,0,"“@Denkfiguren: Interessante inspiratiemiddag: 'de kracht van vernieuwingsonderwijs' http://www.dalton.nl/actueel/agenda/item/151-inspiratiemiddag-ndv …” @dalton_inbalans @DePolderhof",,@Denkfiguren @dalton_inbalans @DePolderhof,,560537248886951937,https://twitter.com/bososs/status/560537248886951937
2015-01-28 20:29:59,bososs,deschool,0,2,1,"“ @deschool: De School in Vpro's Tegenlicht, zondag 1-2 om 21.05 uur: http://www.deschool.nl/kijk-2/ ” kijk er naar uit!",,@deschool,,560535281036955648,https://twitter.com/bososs/status/560535281036955648
2015-01-28 20:28:11,Theoke3,,1,0,0,"I'm at Honden uitlaat plaats in Helvoirt, Noord-Brabant https://www.swarmapp.com/c/3umwNCKY6sN",,,,560534825275494401,https://twitter.com/Theoke3/status/560534825275494401
2015-01-28 20:24:26,BoswachterFrans,caroliolio,1,0,0,"@caroliolio gezellig dat je dan ook weer ons mooie natuurgebied #Kampina komt bezoeken.",,@caroliolio,#Kampina,560533883658465280,https://twitter.com/BoswachterFrans/status/560533883658465280
2015-01-28 20:23:02,BoswachterFrans,riniawillemse,1,0,0,"@riniawillemse zeker, tot morgen.",,@riniawillemse,,560533529881493504,https://twitter.com/BoswachterFrans/status/560533529881493504
2015-01-28 20:22:33,BoswachterFrans,caroliolio,0,0,0,"@caroliolio altijd! En voor straks welterusten xxx",,@caroliolio,,560533408863252481,https://twitter.com/BoswachterFrans/status/560533408863252481
2015-01-28 20:21:44,BoswachterFrans,jvansteensel,0,0,1,"@JvanSteensel zekers, maar men vond het erg lastig. Misschien later eens op terugkomen",,@JvanSteensel,,560533202943873025,https://twitter.com/BoswachterFrans/status/560533202943873025
2015-01-28 20:19:43,BoswachterFrans,caroliolio,1,0,0,"@caroliolio helemaal mee eens. Genieten dus xxx",,@caroliolio,,560532695026241537,https://twitter.com/BoswachterFrans/status/560532695026241537
2015-01-28 20:19:16,BoswachterFrans,caroliolio,1,0,0,"@caroliolio dat vond ik ook. Mooie avond. Geniet ze daar",,@caroliolio,,560532580785991680,https://twitter.com/BoswachterFrans/status/560532580785991680
2015-01-28 20:15:43,bososs,,0,1,0,"Hoop enorm dat ook @ArnoldJonk ons zijn statement in 3 woorden gunt http://www.leidraadskbo.nl/?page_id=204 @LeidRaadSKBO #mooionderwijs #droomschool",,@ArnoldJonk @LeidRaadSKBO,#mooionderwijs #droomschool,560531687822880768,https://twitter.com/bososs/status/560531687822880768
2015-01-28 20:03:59,bososs,karinwinters,1,0,0,"“ @karinwinters: @bososs we kunnen als onderwijswijven ook wel eens makeren :-) @4pip @skbo_oss @CodeKlas @densy” JA!",,@karinwinters @bososs @4pip @skbo_oss @CodeKlas @densy,,560528738157621248,https://twitter.com/bososs/status/560528738157621248
2015-01-28 20:01:09,BoswachterFrans,volgmuizen,0,0,0,"@volgmuizen wat een fantastische foto! @PetraHalbertsma",,@volgmuizen @PetraHalbertsma,,560528024098320386,https://twitter.com/BoswachterFrans/status/560528024098320386
2015-01-28 19:59:58,bososs,Marathonkeje,1,0,0,"“ @Marathonkeje: @bososs mooi! Denk - luister - doe mee” ja hè! Wat zou jouw statement in 3 woorden zijn @LeidRaadSKBO ?!",,@Marathonkeje @bososs @LeidRaadSKBO,,560527726973829120,https://twitter.com/bososs/status/560527726973829120
2015-01-28 19:58:47,bososs,kardonsch,0,0,0,"@kardonsch dat is een goed idee!",,@kardonsch,,560527429434114048,https://twitter.com/bososs/status/560527429434114048
2015-01-28 19:56:06,BoswachterFrans,,0,0,0,"@Natuurmonument collecteert voor bedreigde diersoorten http://shar.es/1b8W7o en ik ga ook met de bus rond in mijn buurt. Tot binnenkort",,@Natuurmonument,,560526752402132992,https://twitter.com/BoswachterFrans/status/560526752402132992
2015-01-28 19:48:02,enriquefigee,RuudvanTendris,0,0,0,"“ @RuudvanTendris: Dit stond bij uitgang NS kantoor op n scherm (Mooi): pic.twitter.com/ZcJJJoJBUd” Grote klasse! Zit r morgen, zal hoed afnemen!",,@RuudvanTendris,,560524723285929985,https://twitter.com/enriquefigee/status/560524723285929985
2015-01-28 19:45:51,enriquefigee,RogerBloem,1,0,0,"@RogerBloem Tzal nie waar zijn... Zet m op!",,@RogerBloem,,560524171797872642,https://twitter.com/enriquefigee/status/560524171797872642
2015-01-28 19:45:22,vvdongen,,0,1,1,"Ruststand #vvdongen A1- #NAC A1 1-0",,,#vvdongen #NAC,560524052427964416,https://twitter.com/vvdongen/status/560524052427964416
2015-01-28 19:44:54,BoswachterFrans,,0,0,0,"@jolandevanlith wat leuk. Zijn we hier ook vriendjes. Heb je mijn email ook al gelezen? Was zondag plotseling verhinderd. Leuk gehad?",,@jolandevanlith,,560523932663808000,https://twitter.com/BoswachterFrans/status/560523932663808000
2015-01-28 19:42:59,BoswachterFrans,jvansteensel,1,0,1,"@JvanSteensel dat wordt een volgend project @Natuurmonument @IkeaEindhoven1 @nathaliesijsma",,@JvanSteensel @Natuurmonument @IkeaEindhoven1 @nathaliesijsma,,560523451275177984,https://twitter.com/BoswachterFrans/status/560523451275177984
2015-01-28 19:42:28,BoswachterFrans,riniawillemse,1,0,0,"@riniawillemse absoluut. Komt een vervolg op. Collega Barbara gaat dat regelen.",,@riniawillemse,,560523322174484480,https://twitter.com/BoswachterFrans/status/560523322174484480
2015-01-28 19:41:12,BoswachterFrans,jvansteensel,0,0,1,"@JvanSteensel melkpakken bedoel ik @Natuurmonument @IkeaEindhoven1 @nathaliesijsma",,@JvanSteensel @Natuurmonument @IkeaEindhoven1 @nathaliesijsma,,560523001998094336,https://twitter.com/BoswachterFrans/status/560523001998094336
2015-01-28 19:40:48,BoswachterFrans,jvansteensel,1,0,1,"@JvanSteensel zelf maken van afval, oa melkpannen @Natuurmonument @IkeaEindhoven1 @nathaliesijsma",,@JvanSteensel @Natuurmonument @IkeaEindhoven1 @nathaliesijsma,,560522903113191425,https://twitter.com/BoswachterFrans/status/560522903113191425
2015-01-28 19:40:27,BoswachterFrans,jvansteensel,0,0,1,"@JvanSteensel dennenappels waren de belangrijkste natuurlijke materialen. Rest was vooral @Natuurmonument @IkeaEindhoven1 @nathaliesijsma",,@JvanSteensel @Natuurmonument @IkeaEindhoven1 @nathaliesijsma,,560522815276081154,https://twitter.com/BoswachterFrans/status/560522815276081154
2015-01-28 19:39:07,BoswachterFrans,analons,0,0,0,"@analons dank je. Wens ik je ook toe. Geniet ze",,@analons,,560522476439220224,https://twitter.com/BoswachterFrans/status/560522476439220224
2015-01-28 19:36:59,42plus,Petertje07,1,0,0,"@Petertje07 @Peter_Zelf ik vind 't zo sneu dat je 'm verloren hebt dat een RT vanzelfsprekend is",,@Petertje07 @Peter_Zelf,,560521942953099264,https://twitter.com/42plus/status/560521942953099264
2015-01-28 19:33:24,EAErol,,0,3,0,"Şeref, edep iledir. Soy ile değildir. Hz. Muhammed SAV @AnlaArtk @haykavipic.twitter.com/7sIceXdInt",,@AnlaArtk @haykavipic,,560521039273541632,https://twitter.com/EAErol/status/560521039273541632
2015-01-28 19:32:27,EAErol,,0,1,2,"On sekiz bin alem hüsnüne kuldur Efendim kıyasa gelmez işlerin #MUHAMMEDÎ http://www.youtube.com/watch?v=a5jFy6dJddw&sns=tw … @AnlaArtkpic.twitter.com/NVi37xdo73",,@AnlaArtkpic,#MUHAMMEDÎ,560520800043008000,https://twitter.com/EAErol/status/560520800043008000
2015-01-28 19:23:59,curriculi,,0,0,0,"Wat kan ik o.a. voor je doen? Bekijk mijn filmpje of kijk op mijn website http://www.curriculi.nl . YouTube; http://youtu.be/sdNrw2DkDeU",,,,560518671073026048,https://twitter.com/curriculi/status/560518671073026048
2015-01-28 19:22:19,stephankienhuis,janrot,1,0,0,"@janrot ik wilde (en kon) niet altijd lang nadenken over een zet. En een kleine fout was meteen fataal #boa",,@janrot,#boa,560518250422104066,https://twitter.com/stephankienhuis/status/560518250422104066
