date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
7/20/2016 23:50,waarisdebrand,,0,0,1,#Lifeliner3: A1 Von Weberstraat #TILBURG 36227,,,#Lifeliner3 #TILBURG,7.55913E+17,https://twitter.com/waarisdebrand/status/755912683485007872
7/20/2016 22:50,aylnkskc,,0,0,0,I'm at Kaşıkçı Malikanesi in Drunen https://www.swarmapp.com/c/9y5l2HMeZ0H,,,,7.55898E+17,https://twitter.com/aylnkskc/status/755897797078114304
7/20/2016 20:40,Davey010,,0,0,1,I just finished running 13.57 km in 1h:02m:40s with #Endomondo #endorphins http://goo.gl/zujuQG,,,#Endomondo #endorphins,7.55865E+17,https://twitter.com/Davey010/status/755864905388027908
7/20/2016 19:42,Quadrofoon,,0,0,0,Rollover Beethoven! @Tilburgse Kermis https://www.instagram.com/p/BIGG3BmDmoA/,,@Tilburgse,,7.5585E+17,https://twitter.com/Quadrofoon/status/755850464118255616
7/20/2016 19:10,JeroenClio,,0,0,0,"2e dag van de opbouw van de #tilburgsekermis #tb16 #avond @Tilburg, Netherlands https://www.instagram.com/p/BIGDHQ3j1CU/",,@Tilburg,#tilburgsekermis #tb16 #avond,7.55842E+17,https://twitter.com/JeroenClio/status/755842318473818112
7/20/2016 19:06,ontwerpheld,,0,0,0,"Aperolladijeeee!! (@RAW in Tilburg, Noord-Brabant) https://www.swarmapp.com/c/lPxZuNE1AVl pic.twitter.com/nCGXzOVCrf",,@RAW,,7.55841E+17,https://twitter.com/ontwerpheld/status/755841284426833921
7/20/2016 19:00,SvenVerbruggen,,0,0,0,I just finished hiking 11.39 km in 2h:01m:45s with #Endomondo #endorphins http://goo.gl/bbY1Tt,,,#Endomondo #endorphins,7.5584E+17,https://twitter.com/SvenVerbruggen/status/755839939774996480
7/20/2016 17:48,jorn83,,0,0,1,Drinking an Amis Fleur by @ibrewstars @Thuis — http://untp.beer/s/c338140724 #photo,,@ibrewstars @Thuis,#photo,7.55822E+17,https://twitter.com/jorn83/status/755821780799987712
7/20/2016 17:40,112alarm,,0,0,0,#TILBURG #MWB | PRIO 2 Letsel Tilburg Aldi Tilburg Transvaalplein __ | https://goo.gl/qvBYff,,,#TILBURG #MWB,7.5582E+17,https://twitter.com/112alarm/status/755819724706119680
7/20/2016 16:20,aylnkskc,,0,0,0,Kardeşle keyff (@Polonia in Drunen) https://www.swarmapp.com/c/167BYWVvYbz pic.twitter.com/0ndYEVQPoB,,@Polonia,,7.558E+17,https://twitter.com/aylnkskc/status/755799574749536256
