date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-12-30 23:58:47,ellen20392,,0,0,0,"Nou daar gaat ons laaste nachtje van 2014 tot volgendjaar",,,,550078578206191618,https://twitter.com/ellen20392/status/550078578206191618
2014-12-30 23:36:55,xDeniseTeulingx,,0,0,0,"@Nashgrier I feel so ignored by you. Follow me please",,@Nashgrier,,550073074138505216,https://twitter.com/xDeniseTeulingx/status/550073074138505216
2014-12-30 23:36:29,xDeniseTeulingx,,0,0,0,"@nashgrier no but I really want that follow",,@nashgrier,,550072963723440129,https://twitter.com/xDeniseTeulingx/status/550072963723440129
2014-12-30 23:36:06,xDeniseTeulingx,,0,0,0,"@nashgrier your vines are awesome why wouldnt I like and revine them? Just because you don't follow me? Pssshh",,@nashgrier,,550072870119170048,https://twitter.com/xDeniseTeulingx/status/550072870119170048
2014-12-30 23:35:25,xDeniseTeulingx,,0,0,0,"@Nashgrier yeah I liked and revined it. What are you waiting for? Follow me pic.twitter.com/p1s7WCrjDU",,@Nashgrier,,550072695275393024,https://twitter.com/xDeniseTeulingx/status/550072695275393024
2014-12-30 23:33:56,xDeniseTeulingx,,0,0,0,"@Nashgrier what about me? You just ignore me like that? Okay Im used to it",,@Nashgrier,,550072324687659009,https://twitter.com/xDeniseTeulingx/status/550072324687659009
2014-12-30 23:30:32,xDeniseTeulingx,Nashgrier,0,0,0,"@Nashgrier I already did :( im not getting a follow am i",,@Nashgrier,,550071467627798529,https://twitter.com/xDeniseTeulingx/status/550071467627798529
2014-12-30 23:13:40,P2000013,,0,0,0,"(Directe Inzet: A2 5036WE 89 : Voorschotenstraat 89 Tilburg 94960 http://watiserloos.in/melding/9651165/ … #p2000",,,#p2000,550067224464338944,https://twitter.com/P2000013/status/550067224464338944
2014-12-30 23:12:16,ValerieOord,,0,1,0,"Morgen is t al 2015",,,,550066870737711104,https://twitter.com/ValerieOord/status/550066870737711104
2014-12-30 23:08:22,sanfranshocking,,0,0,1,"Good night everyone",,,,550065891560681472,https://twitter.com/sanfranshocking/status/550065891560681472
2014-12-30 23:07:34,sanfranshocking,,0,0,0,"So many Corna selfies",,,,550065689978216449,https://twitter.com/sanfranshocking/status/550065689978216449
2014-12-30 23:05:55,sanfranshocking,awesomeIaughs,0,0,0,"“ @awesomeIaughs: Who else lays in bed all comfy, wondering if it's worth it to get up and go pee?” Me rn",,@awesomeIaughs,,550065273852932097,https://twitter.com/sanfranshocking/status/550065273852932097
2014-12-30 23:05:16,sanfranshocking,,0,0,0,"@Neilshinoya nEIL PLS",,@Neilshinoya,,550065109662724096,https://twitter.com/sanfranshocking/status/550065109662724096
2014-12-30 23:03:46,RoelofsJanneke,,0,0,0,"Ultieme #kerstvakantie bezigheid ;) net terug van de #film #TheHobbitTheBattleofFiveArmies - wauw #genieten",,,#kerstvakantie #film #TheHobbitTheBattleofFiveArmies #genieten,550064731382616066,https://twitter.com/RoelofsJanneke/status/550064731382616066
2014-12-30 23:00:22,xDeniseTeulingx,xDeniseTeulingx,0,0,0,"@Nashgrier",,@Nashgrier,,550063878424760323,https://twitter.com/xDeniseTeulingx/status/550063878424760323
2014-12-30 22:59:42,xmelissadevries,,0,0,0,"@Ron_spijkenisse succes",,@Ron_spijkenisse,,550063710082174978,https://twitter.com/xmelissadevries/status/550063710082174978
2014-12-30 22:59:09,daniquesoede,,0,0,0,"Byee mensen sleepwel",,,,550063568360853504,https://twitter.com/daniquesoede/status/550063568360853504
2014-12-30 22:58:41,sanfranshocking,,0,0,0,"@Neilshinoya please",,@Neilshinoya,,550063452325441536,https://twitter.com/sanfranshocking/status/550063452325441536
2014-12-30 22:58:27,sanfranshocking,,0,0,0,"Hair goals https://twitter.com/Neilshinoya/status/550063121608343553/photo/1pic.twitter.com/sqU9K8RWmt",,,,550063392078434304,https://twitter.com/sanfranshocking/status/550063392078434304
2014-12-30 22:57:58,sanfranshocking,,0,0,0,"@Neilshinoya it'd look better if you didn't scribble your face out damn",,@Neilshinoya,,550063271513190401,https://twitter.com/sanfranshocking/status/550063271513190401
2014-12-30 22:56:36,sanfranshocking,krissily,0,0,0,"@turtlekrissy YOURE BEAUTIFUL",,@turtlekrissy,,550062927127281664,https://twitter.com/sanfranshocking/status/550062927127281664
2014-12-30 22:56:32,daniquesoede,,0,0,0,"Zin in morgen",,,,550062912841482240,https://twitter.com/daniquesoede/status/550062912841482240
2014-12-30 22:56:28,sanfranshocking,krissily,0,0,0,"@turtlekrissy tAKE A SELFIE KRISSY",,@turtlekrissy,,550062895376367616,https://twitter.com/sanfranshocking/status/550062895376367616
2014-12-30 22:56:10,daniquesoede,,0,0,0,"Zo slape",,,,550062818666774528,https://twitter.com/daniquesoede/status/550062818666774528
2014-12-30 22:54:54,daniquesoede,JefSkaffa,0,0,0,"@JefSkaffa wordt moooi dagske",,@JefSkaffa,,550062502810488833,https://twitter.com/daniquesoede/status/550062502810488833
2014-12-30 22:49:27,hilma1981,YvonMichielsen,2,0,0,"@YvonMichielsen ja maar al die kleurtjes help en die dingen",,@YvonMichielsen,,550061129616326657,https://twitter.com/hilma1981/status/550061129616326657
2014-12-30 22:44:09,standbyfornow,,0,0,0,"I don't know if i like this pic or nahh #ilovehim @hmm http://instagram.com/p/xP4GZBNW_7/",,@hmm,#ilovehim,550059796163227648,https://twitter.com/standbyfornow/status/550059796163227648
2014-12-30 22:42:56,JohnAdriaansen,,1,0,0,"Zo'n zaalvoetbal toernooi is een feest van herkenning. All Stars, met een absolute topper, verliest van RKTVV in de finale.",,,,550059487634407424,https://twitter.com/JohnAdriaansen/status/550059487634407424
2014-12-30 22:41:53,Arnodingemans,,0,0,0,"2014 was een topjaar. Meer dan ooit hardgelopen, leuke projecten op het werk, verhuisd en bovenal een prachtige dochter gekregen. #Nova",,,#Nova,550059223909171201,https://twitter.com/Arnodingemans/status/550059223909171201
