date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-02-08 23:57:16,fabiennebeekmns,,0,0,0,"pic.twitter.com/ckINI2mGBn",,,,432302139504078848,https://twitter.com/fabiennebeekmns/status/432302139504078848
2014-02-08 23:56:17,biebersproud_,,0,0,0,"45.555 Love you 2 @jdbxashleyy_ ✗",,@jdbxashleyy_,,432301891008348160,https://twitter.com/biebersproud_/status/432301891008348160
2014-02-08 23:56:13,fabiennebeekmns,,0,0,0,"Sleepwell .",,,,432301876122763264,https://twitter.com/fabiennebeekmns/status/432301876122763264
2014-02-08 23:55:42,fabiennebeekmns,,0,0,0,"Vrijdag avond super avond en nacht gehad met schatje en vrienden, nu lekker slapen en morgen n luie zondag.",,,,432301744463552513,https://twitter.com/fabiennebeekmns/status/432301744463552513
2014-02-08 23:54:32,fabiennebeekmns,,0,0,0,"Everyday made us stronger",,,,432301452183498752,https://twitter.com/fabiennebeekmns/status/432301452183498752
2014-02-08 23:54:23,biebersproud_,,0,0,0,"- ik breek bij je in :$ja i love youuuuu babyy booo xxxx @jdbxashleyy_",,@jdbxashleyy_,,432301412136280064,https://twitter.com/biebersproud_/status/432301412136280064
2014-02-08 23:52:10,Damonn_,,1,0,0,"Ik houd can dönner",,,,432300856625885184,https://twitter.com/Damonn_/status/432300856625885184
2014-02-08 23:51:41,P2000013,,0,0,0,"(Directe Inzet: A2 5042NC 24 : BERNARD LODERSTRAAT 24 TILBURG 10031 http://watiserloos.in/melding/8234871/ … #p2000",,,#p2000,432300735796350978,https://twitter.com/P2000013/status/432300735796350978
2014-02-08 23:48:39,biebersproud_,,0,0,0,"- no , it cant.",,,,432299969207619584,https://twitter.com/biebersproud_/status/432299969207619584
2014-02-08 23:48:28,biebersproud_,,0,0,0,"- omfgg.",,,,432299925477806080,https://twitter.com/biebersproud_/status/432299925477806080
2014-02-08 23:47:35,biebersproud_,,0,0,0,"RT @GiloBAWZ Meisje ik ga bij een vriendin leren. Papa: Nee a kehba, dat zei je moeder ook altijd tegen haar ouders, maar ze kwam naar mij..",,@GiloBAWZ,,432299702898683904,https://twitter.com/biebersproud_/status/432299702898683904
2014-02-08 23:46:03,Quadrofoon,,0,0,0,"Willem II speelde vandaag wel zo slecht, dat het wel kunst leek...",,,,432299318503305216,https://twitter.com/Quadrofoon/status/432299318503305216
2014-02-08 23:45:00,biebersproud_,,0,0,0,""" @GiloBAWZ: Wat bij elkaar hoort komt weer terug bij elkaar """,,@GiloBAWZ,,432299051896565760,https://twitter.com/biebersproud_/status/432299051896565760
2014-02-08 23:44:53,AntzOnDrumz,,0,0,0,"Have a nice weekend...",,,,432299022574166016,https://twitter.com/AntzOnDrumz/status/432299022574166016
2014-02-08 23:44:01,martinajew,,0,0,0,"pic.twitter.com/8xHAjRnnow",,,,432298806517194752,https://twitter.com/martinajew/status/432298806517194752
2014-02-08 23:43:06,FolkertvanEs,ElckerlycHbeek,0,1,0,"@ElckerlycHbeek voor herhaling vatbaar! #letsswing #muziekfreaks",,@ElckerlycHbeek,#letsswing #muziekfreaks,432298575415230464,https://twitter.com/FolkertvanEs/status/432298575415230464
2014-02-08 23:39:04,ccjanvanbesouw,,0,1,0,"Drukke afterparty na uitverkochte show van @Richardgroenend @ccjanvanbesouwpic.twitter.com/n63F41mAVR",,@Richardgroenend @ccjanvanbesouwpic,,432297560691466240,https://twitter.com/ccjanvanbesouw/status/432297560691466240
2014-02-08 23:38:31,ArjanRMSTilburg,,0,3,2,"Veldhoven was leuk #bedrijfsfeest met #bostonteaparty @_Leonaphilippo @xdebuisonje en @SharonDoorson #live",,@_Leonaphilippo @xdebuisonje @SharonDoorson,#bedrijfsfeest #bostonteaparty #live,432297419154681856,https://twitter.com/ArjanRMSTilburg/status/432297419154681856
2014-02-08 23:37:25,PSVEindhoven17,xMMJ_,0,1,0,"@xMMJ_ deze gaat helemaal los",,@xMMJ_,,432297143651827712,https://twitter.com/PSVEindhoven17/status/432297143651827712
2014-02-08 23:36:24,boggle13,,0,0,0,"Drinking a Jacobus Rye Pale Ale by @jopenbier at @boggle13 — http://untp.it/1iIB0p2",,@jopenbier @boggle13,,432296889162399745,https://twitter.com/boggle13/status/432296889162399745
2014-02-08 23:32:29,biebersproud_,Tapsecret_,0,0,0,"@Negerlander_ nee is irritant en ze gaan vanzelf uit",,@Negerlander_,,432295900871147520,https://twitter.com/biebersproud_/status/432295900871147520
2014-02-08 23:31:20,Cltr_nl,,0,0,0,"The confirmation bias leads us to hunt for information that flatters our existing beliefs #behavioraleconomics #Heathbrothers #falsification",,,#behavioraleconomics #Heathbrothers #falsification,432295614295326720,https://twitter.com/Cltr_nl/status/432295614295326720
2014-02-08 23:30:08,Deryaa013,,0,0,0,""" @canssel38: Was gezellig met mn askim @Deryaa013""",,@canssel38 @Deryaa013,,432295309256167425,https://twitter.com/Deryaa013/status/432295309256167425
2014-02-08 23:30:07,biebersproud_,,0,0,0,"- Eng ..",,,,432295306693447680,https://twitter.com/biebersproud_/status/432295306693447680
2014-02-08 23:28:59,Deryaa013,,0,0,0,""" @canssel38: Hwhaojsiagahahaahahahhahaa https://twitter.com/canssel38/status/432282579434475520/photo/1pic.twitter.com/ttHw1Fs6Pd "" hahahaha kk toen ik deze zag ging ik stukk",,@canssel38,,432295023628255232,https://twitter.com/Deryaa013/status/432295023628255232
2014-02-08 23:22:27,kellystierman,,0,0,0,"Was leuk feestje nu slapen",,,,432293379100393472,https://twitter.com/kellystierman/status/432293379100393472
2014-02-08 23:20:22,KenanBostanci,,0,0,0,"@AkchemicAk kinamaya iyi kiniyoruz ama icimizdeki su fitne fesatler olmasa vatanimi dunyada bir numara olur",,@AkchemicAk,,432292851507277825,https://twitter.com/KenanBostanci/status/432292851507277825
2014-02-08 23:19:06,chloexnonstop,,0,0,0,"@xNiempjee aawhh beterschap! Xx",,@xNiempjee,,432292532580794368,https://twitter.com/chloexnonstop/status/432292532580794368
2014-02-08 23:18:05,WimHobbelink,,1,0,0,"@xBiancake doet me denken aan een Jeep safari toen het nog mooi weer was en we droomden van een horror winter",,@xBiancake,,432292278460506112,https://twitter.com/WimHobbelink/status/432292278460506112
2014-02-08 23:17:00,iPat88,,0,0,0,"Good Night (@iPat's Royal King Size Bed) http://4sq.com/1lN0B5y",,@iPat,,432292007441338368,https://twitter.com/iPat88/status/432292007441338368
2014-02-08 23:16:08,P2000013,,0,0,0,"PRIO 2 6735 WAGNERPLEIN TILBURG Containerbrand (INC: 05) http://watiserloos.in/melding/8234801/ … #p2000",,,#p2000,432291787232010240,https://twitter.com/P2000013/status/432291787232010240
2014-02-08 23:12:57,ChrisSibon,PWeert,1,0,0,"@PWeert @RikElfrink Rosales had in de 93e minuut sowieso z'n 2e geel krijgen, belachelijk dag blom die niet gaf maar affloot",,@PWeert @RikElfrink,,432290986010886146,https://twitter.com/ChrisSibon/status/432290986010886146
