date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-11-13 23:55:58,t_deridder,,0,0,1,"ohja morgenochtend 8:45 college. grapje ik neem vrij",,,,533045640742572033,https://twitter.com/t_deridder/status/533045640742572033
2014-11-13 23:53:09,t_deridder,,0,0,1,"fijn. bier. muziek. vrienden. feest. student. lachen. plezier",,,,533044929145339905,https://twitter.com/t_deridder/status/533044929145339905
2014-11-13 23:51:17,P2000013,,0,0,0,"(Directe Inzet: A2 5014GC 201 : th Ringbaan-Oost 201 Tilburg 82252 http://watiserloos.in/melding/9443323/ … #p2000",,,#p2000,533044461744689155,https://twitter.com/P2000013/status/533044461744689155
2014-11-13 23:15:09,AhmetduranAkan,robinvehood,0,0,0,"@robinvehood @ToplumunSesi aha sana bir saray soytarısı",,@robinvehood @ToplumunSesi,,533035367059169280,https://twitter.com/AhmetduranAkan/status/533035367059169280
2014-11-13 23:11:17,AhmetduranAkan,SHaberGuncel,0,0,0,"@SHaberGuncel @hanisaygl zaten görmez göremez",,@SHaberGuncel @hanisaygl,,533034392701394945,https://twitter.com/AhmetduranAkan/status/533034392701394945
2014-11-13 23:11:11,BeavanBeers,johanmeesters79,0,0,0,"@johanmeesters79 jullie ook",,@johanmeesters79,,533034368311496704,https://twitter.com/BeavanBeers/status/533034368311496704
2014-11-13 23:10:37,BeavanBeers,johanmeesters79,0,0,0,"@johanmeesters79 bedankt!",,@johanmeesters79,,533034225906487297,https://twitter.com/BeavanBeers/status/533034225906487297
2014-11-13 23:01:18,marcvanblerk,LuxImprove,1,0,0,"@LUXimprove waar moet ik qua richtprijs aan denken?",,@LUXimprove,,533031880741097472,https://twitter.com/marcvanblerk/status/533031880741097472
2014-11-13 22:51:46,JurgenDekkers,pwklaassen,1,0,0,"@pwklaassen Toeval op mijn tijdlijn...?! pic.twitter.com/6lSMvhKrPf",,@pwklaassen,,533029481410490368,https://twitter.com/JurgenDekkers/status/533029481410490368
2014-11-13 22:50:33,indiidii1,,0,0,0,"Het Risico van de vak ik dacht dat beetje BLOOD lekker zou zijn met de tartaar want hij was niet rood… http://instagram.com/p/vW3eKNOpZ-/",,,,533029178095185920,https://twitter.com/indiidii1/status/533029178095185920
2014-11-13 22:49:24,aylnkskc,,0,0,0,"I'm at Kaşıkçı Malikanesi in Drunen https://www.swarmapp.com/c/8XiyXiZ5CWQ",,,,533028884934311936,https://twitter.com/aylnkskc/status/533028884934311936
2014-11-13 22:47:33,bastijansen,,0,0,2,"Bruin of wit? Als er maar veel humor in zit! Blij dat de pakjesboot niet zinkt! ""Het is ook elk jaar wat! hè mama?"" #sinterklaasjournaal",,,#sinterklaasjournaal,533028423233720320,https://twitter.com/bastijansen/status/533028423233720320
2014-11-13 22:41:14,BeavanBeers,johanmeesters79,1,0,0,"@johanmeesters79 Johan, hier is de begroting 2015 ook vastgesteld met 1 amendement, 3 moties ingediend door diverse partijen.",,@johanmeesters79,,533026832896245761,https://twitter.com/BeavanBeers/status/533026832896245761
2014-11-13 22:35:58,TeunVanGestel,,0,0,0,"Family First #Throwback @Ibiza http://instagram.com/p/vW1zWZCApW/",,@Ibiza,#Throwback,533025508360220672,https://twitter.com/TeunVanGestel/status/533025508360220672
2014-11-13 22:26:00,FolkertvanEs,,1,0,3,"Zoon 8(laatste keer als gelovige) tegen mij: Pap, rustig maar, #zwartepiet komt terug, want 't komt altijd goed bij het #sinterklaasjournaal",,,#zwartepiet #sinterklaasjournaal,533022996764844032,https://twitter.com/FolkertvanEs/status/533022996764844032
2014-11-13 22:24:48,P2000013,,0,0,0,"(Directe Inzet: A2 5038CP 19 : Kentucky Fried Chicken Tilburg th Heuvel 19 Kentucky Fried Chicken Ti Tilbur... http://watiserloos.in/melding/9443128/ … #p2000",,,#p2000,533022695840305152,https://twitter.com/P2000013/status/533022695840305152
2014-11-13 22:24:47,P2000013,,0,0,0,"(Directe Inzet: A2 5038CP 19 : Kentucky Fried Chicken Tilburg th Heuvel 19 Kentucky Fried Chicken Ti Tilbur... http://watiserloos.in/melding/9443127/ … #p2000",,,#p2000,533022693579563009,https://twitter.com/P2000013/status/533022693579563009
2014-11-13 22:22:55,Musaswaggx,,0,0,0,"Ik wil Silver belt behalen in de game Real Boxing™. http://link.gc.apple.com/players/G:944683661/games/com.vividgames.realboxing/achievement/com.vividgames.realboxing_a04 …",,,,533022222571831296,https://twitter.com/Musaswaggx/status/533022222571831296
2014-11-13 22:22:06,LvNistelrooij,cdalimburg,0,0,0,"@CDALimburg @margrietnouwen verdiend! Klassenbak, fijne oud-collega",,@CDALimburg @margrietnouwen,,533022017344536578,https://twitter.com/LvNistelrooij/status/533022017344536578
2014-11-13 22:21:28,verhagen,suzi_1960,1,0,0,"@suzi_1960 @AnittaLie @Tri3st @Paul_70 @360marco @geertvdwoude @Meerepeer @scriptgirlnl @DhrRonny @jeroen_sickman @p_dielis welterusten",,@suzi_1960 @AnittaLie @Tri3st @Paul_70 @360marco @geertvdwoude @Meerepeer @scriptgirlnl @DhrRonny @jeroen_sickman @p_dielis,,533021857679937536,https://twitter.com/verhagen/status/533021857679937536
2014-11-13 22:17:17,LvNistelrooij,,0,0,0,"CDABrabant Commissie Buitenland bijeen: ook wij juichen de nieuwe naam Midden-Brabant toe voor de zuiderbuur Provincie Antwerpen. Onze roots",,,,533020804356014080,https://twitter.com/LvNistelrooij/status/533020804356014080
2014-11-13 22:16:17,steurtje,janjaapvdknaap,1,0,0,"@janjaapvdknaap @__bash @StefanTettert lelijkheid!",,@janjaapvdknaap @__bash @StefanTettert,,533020551707897856,https://twitter.com/steurtje/status/533020551707897856
2014-11-13 22:12:03,Makelaarweg,,0,0,0,"TE KOOP: Schout Backstraat 8 #TILBURG 429000,- http://www.makelaarweg.nl/home/h/1780 woning",,,#TILBURG,533019488149839872,https://twitter.com/Makelaarweg/status/533019488149839872
2014-11-13 22:10:41,SJOERDvanHEIST,,0,0,0,"Let see what tomorrow brings , goodnight fw",,,,533019141784215552,https://twitter.com/SJOERDvanHEIST/status/533019141784215552
2014-11-13 22:09:12,biebersjournals,,0,0,0,"I'm tired but I also don't wanna put my phone away",,,,533018769686536195,https://twitter.com/biebersjournals/status/533018769686536195
2014-11-13 22:06:18,SJOERDvanHEIST,,0,0,0,"I am proud of myself",,,,533018039575654400,https://twitter.com/SJOERDvanHEIST/status/533018039575654400
2014-11-13 22:03:26,AnneMaas99,,1,1,1,"Dit witte pieten gedoe maakt sinterklaas nog faker dan het al was",,,,533017320361578496,https://twitter.com/AnneMaas99/status/533017320361578496
2014-11-13 22:01:38,biebersjournals,,0,0,0,"5 DAYS UNTIL I'M FINALLY GOING TO SEE ONE OF MY BIGGEST INSPIRATIONS",,,,533016864289742848,https://twitter.com/biebersjournals/status/533016864289742848
2014-11-13 22:01:18,AnneMaas99,,0,0,0,"@OwenPlayfair na deze dm spree, kun je ook wel een followspree doen. Begin maar met mij volgen",,@OwenPlayfair,,533016780185559040,https://twitter.com/AnneMaas99/status/533016780185559040
2014-11-13 22:00:31,biebersjournals,ClaireeeGallxo,0,0,0,"@ClaireeeGallxo @belieberbabes SO DAMN LUCKY WTF",,@ClaireeeGallxo @belieberbabes,,533016586366775296,https://twitter.com/biebersjournals/status/533016586366775296
2014-11-13 21:59:03,biebersjournals,ArianaGrande,0,0,0,"@ArianaGrande are you excited for tomorrow?",,@ArianaGrande,,533016217972666368,https://twitter.com/biebersjournals/status/533016217972666368
2014-11-13 21:58:41,biebersjournals,,0,1,1,"I'M SO SAD https://vine.co/v/O5BuLhYP3nT",,,,533016124129288192,https://twitter.com/biebersjournals/status/533016124129288192
2014-11-13 21:58:16,AnneMaas99,,0,0,0,"@OwenPlayfairpic.twitter.com/inPWzKonET",,@OwenPlayfairpic,,533016019703721986,https://twitter.com/AnneMaas99/status/533016019703721986
2014-11-13 21:58:05,aavanderzet,TheoPeeters5,0,0,0,"@TheoPeeters5 Wat n goed nieuws. Proficiat!",,@TheoPeeters5,,533015971628589056,https://twitter.com/aavanderzet/status/533015971628589056
2014-11-13 21:56:52,AnneMaas99,,0,0,0,"@OwenPlayfair can i get a follow????",,@OwenPlayfair,,533015665813495808,https://twitter.com/AnneMaas99/status/533015665813495808
2014-11-13 21:54:51,AnneMaas99,,0,0,0,"Echt serieus iedereen in mijn tl heeft een dm van @OwenPlayfair en hij volgt me nog niet eens #fml #jealous #crying",,@OwenPlayfair,#fml #jealous #crying,533015159531642880,https://twitter.com/AnneMaas99/status/533015159531642880
2014-11-13 21:51:29,AnneMaas99,,0,2,0,"@OwenPlayfair mensen in mijn tl zijn blij met een dm van je, maar ik wacht nog steeds op dat moment dat je me gaat volgen",,@OwenPlayfair,,533014312114470912,https://twitter.com/AnneMaas99/status/533014312114470912
2014-11-13 21:47:50,Lobke013,,0,0,0,"Maybe it is true ??? :opic.twitter.com/IphYYm361j",,,,533013393364762624,https://twitter.com/Lobke013/status/533013393364762624
