date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-03-13 23:59:25,thrxsherr,rraevva,1,0,0,"@chxrizards sup :(",,@chxrizards,,444261478921957376,https://twitter.com/thrxsherr/status/444261478921957376
2014-03-13 23:58:18,gultunc55,,0,0,1,"Uyu kalk işe git gel uyu kalk hep aynı şeyler hayatımda değişikler istiyorum ben yatıyorum by",,,,444261198197194752,https://twitter.com/gultunc55/status/444261198197194752
2014-03-13 23:54:08,perpijn,,0,0,0,"Zeven voor één yup tijd om mijn bed te verschonen",,,,444260151999336448,https://twitter.com/perpijn/status/444260151999336448
2014-03-13 23:54:07,AhmetduranAkan,mehmetkurt1978,0,0,0,"@mehmetkurt1978 @fatihdoganNL en azından bir dogrusu olsun istiyor yani insan yalancı çıkmasın bu kez hiç degilse",,@mehmetkurt1978 @fatihdoganNL,,444260144608993280,https://twitter.com/AhmetduranAkan/status/444260144608993280
2014-03-13 23:53:58,Arielle_aat,,0,0,0,"Neeee ik wil geen dipje maar heb echt weer even een dipje neee.",,,,444260110509281280,https://twitter.com/Arielle_aat/status/444260110509281280
2014-03-13 23:42:55,JeffreyRBeijnon,WenVanH,0,0,0,"@WenVanH @JeffreyRBeijnon Ok, vooruit, ik kom in galakostuum met foute Elvis Presley zonnebril :))",,@WenVanH @JeffreyRBeijnon,,444257326409977856,https://twitter.com/JeffreyRBeijnon/status/444257326409977856
2014-03-13 23:42:44,thrxsherr,darkjoydivision,0,0,1,"@darkjoydivision aw die zijn zo leuk",,@darkjoydivision,,444257282906652672,https://twitter.com/thrxsherr/status/444257282906652672
2014-03-13 23:41:35,Abdelssss,,0,0,0,"Smiddags weer gaan blazenpic.twitter.com/HGVdIt8ors",,,,444256990827921408,https://twitter.com/Abdelssss/status/444256990827921408
2014-03-13 23:40:08,thrxsherr,,0,0,0,"Ok ff peukje wat drinken en om 1uur maar slapen",,,,444256627047534592,https://twitter.com/thrxsherr/status/444256627047534592
2014-03-13 23:38:20,thrxsherr,,0,0,0,"@FalseHarmony_ yes aw leuk liefje",,@FalseHarmony_,,444256174054334464,https://twitter.com/thrxsherr/status/444256174054334464
2014-03-13 23:37:58,RoelNetten,MerelvanBeers,1,0,1,"@MerelvanBeers ik hoop dat het gesmaakt heeft!",,@MerelvanBeers,,444256080307445760,https://twitter.com/RoelNetten/status/444256080307445760
2014-03-13 23:37:03,rijsb046,,0,1,0,"#N261 Non Stop #BAM #TMA set 4 nachten aan het asfalteren op de N261pic.twitter.com/M8Jc2mt04W",,,#N261 #BAM #TMA,444255850459574273,https://twitter.com/rijsb046/status/444255850459574273
2014-03-13 23:30:11,thrxsherr,,0,0,0,"@FalseHarmony_ doedoedoe goed voor de beentjes",,@FalseHarmony_,,444254123924660224,https://twitter.com/thrxsherr/status/444254123924660224
2014-03-13 23:29:55,perpijn,,0,0,0,"@nietthom @aertoom @dekroelert luuk in de shop remember kankerbleek met z'n slushpuppy",,@nietthom @aertoom @dekroelert,,444254056828391424,https://twitter.com/perpijn/status/444254056828391424
2014-03-13 23:29:13,thrxsherr,,0,0,0,"@FalseHarmony_ idk..",,@FalseHarmony_,,444253879409340416,https://twitter.com/thrxsherr/status/444253879409340416
2014-03-13 23:28:19,savannah_brink,,0,0,0,"Nu lekker slapen, morgen naar kappertje",,,,444253654053568512,https://twitter.com/savannah_brink/status/444253654053568512
2014-03-13 23:27:18,Abdelssss,,0,0,0,"Je haat omdat bij mij de zo'n schijnt en doe als of het regent",,,,444253397567684608,https://twitter.com/Abdelssss/status/444253397567684608
2014-03-13 23:26:41,thrxsherr,,0,0,0,"@FalseHarmony_ aw ik jou ook popje",,@FalseHarmony_,,444253243221499904,https://twitter.com/thrxsherr/status/444253243221499904
2014-03-13 23:26:40,perpijn,,0,0,0,"@nietthom @aertoom @dekroelert ik bedoel broekplasboy man",,@nietthom @aertoom @dekroelert,,444253238641307648,https://twitter.com/perpijn/status/444253238641307648
2014-03-13 23:25:53,thrxsherr,,0,0,0,"@blxvck ze is echt kankermooi gvd",,@blxvck,,444253040154263553,https://twitter.com/thrxsherr/status/444253040154263553
2014-03-13 23:25:41,perpijn,,0,0,0,"@nietthom @aertoom @dekroelert Thom meen je dit MEEN je dit",,@nietthom @aertoom @dekroelert,,444252991928156160,https://twitter.com/perpijn/status/444252991928156160
2014-03-13 23:24:13,perpijn,2school4cool,1,0,2,"@2school4cool plasser means wiener",,@2school4cool,,444252620824526849,https://twitter.com/perpijn/status/444252620824526849
2014-03-13 23:23:44,thrxsherr,,0,0,0,"@blxvck ben verliefd",,@blxvck,,444252500020183040,https://twitter.com/thrxsherr/status/444252500020183040
2014-03-13 23:21:16,thrxsherr,,0,0,0,"Defender II is niet goed voor mn slaapritme hahaha",,,,444251877589676033,https://twitter.com/thrxsherr/status/444251877589676033
2014-03-13 23:17:26,romii_013,obsessedbrat,0,1,0,"@obsessedbrat haha maybe a little xd",,@obsessedbrat,,444250914401296384,https://twitter.com/romii_013/status/444250914401296384
2014-03-13 23:02:13,EAErol,,0,0,0,"Ssssst Aslan istirahatte... Chelsea öncesi dinleniş! #galatasaray #ultraaslan @TÜRK TELEKOM ARENA http://instagram.com/p/lgCDMdw3bW/",,@TÜRK,#galatasaray #ultraaslan,444247086482350081,https://twitter.com/EAErol/status/444247086482350081
2014-03-13 23:01:59,kb_verhoeven,DorusVanDenOord,0,0,0,"@DorusVanDenOord hihi",,@DorusVanDenOord,,444247027535593472,https://twitter.com/kb_verhoeven/status/444247027535593472
2014-03-13 23:01:16,pwfvtuyl,,0,1,0,"Ik ga morgen weer voor @D66Tilburg de wijk in",,@D66Tilburg,,444246845028446208,https://twitter.com/pwfvtuyl/status/444246845028446208
2014-03-13 23:01:13,sperber_sjaak,,2,0,1,"Ster van de avond was Dinie Sperber. Als je de ene vrouw afkapt, Joost, waarom die andere man dan niet? trots!!",,,,444246831560921088,https://twitter.com/sperber_sjaak/status/444246831560921088
2014-03-13 23:00:19,_Lukeww_,,0,0,0,"Sommige mensenpic.twitter.com/hBUdipYF4P",,,,444246606230339585,https://twitter.com/_Lukeww_/status/444246606230339585
2014-03-13 22:55:35,P2000013,,0,0,0,"(Directe Inzet: A2 606 : VRIEZENVEENSTRAAT/2/06 606 2/06 TILBURG 18782 http://watiserloos.in/melding/8354426/ … #p2000",,,#p2000,444245415282900992,https://twitter.com/P2000013/status/444245415282900992
2014-03-13 22:54:19,felineclaire,,0,1,0,"Gezellig avondje uit met leuke mensjes! @evaaW18 @Lill_I_Amm @roeel_ @CecileBessems @MariaPamporis",,@evaaW18 @Lill_I_Amm @roeel_ @CecileBessems @MariaPamporis,,444245096100552704,https://twitter.com/felineclaire/status/444245096100552704
2014-03-13 22:53:34,_Lukeww_,hassanali167,2,0,0,"@Ebrem_0416_ @Magghrabi echt he grootste bekkie op twitter is die zelf hahah",,@Ebrem_0416_ @Magghrabi,,444244909915377665,https://twitter.com/_Lukeww_/status/444244909915377665
2014-03-13 22:52:22,JStokman79,,1,0,0,"@wvanlaarhoven heerlijk gegeten vanavond Wout !! Ik kom snel een keer een bakkie doen !",,@wvanlaarhoven,,444244607216648192,https://twitter.com/JStokman79/status/444244607216648192
2014-03-13 22:51:20,_Lukeww_,Magghrabi,0,0,0,"@Magghrabipic.twitter.com/uDopKNRH04",,@Magghrabipic,,444244347157229568,https://twitter.com/_Lukeww_/status/444244347157229568
2014-03-13 22:48:54,hayitsmichaela,,0,0,0,"Slapen na een lange dag! Goodnight",,,,444243733765451776,https://twitter.com/hayitsmichaela/status/444243733765451776
2014-03-13 22:48:46,sperber_sjaak,,0,0,0,"@TimAppels eerst naam leren spellen, Tim",,@TimAppels,,444243701989404672,https://twitter.com/sperber_sjaak/status/444243701989404672
2014-03-13 22:48:12,staticramsez,,0,0,0,"Lekker! Siked voor meer van deze knapen het komen... (Schneider Weisse Meine Blonde Weisse (TAP1)) http://untp.it/1kPL2cd #photo",,,#photo,444243559919939584,https://twitter.com/staticramsez/status/444243559919939584
2014-03-13 22:48:10,DeDwazeDweilers,RaadvDweiluf,0,1,0,"@RaadvDweiluf De #Dinsdag @OnsCafesch was top, zeker voor herhaling vatbaar.... #gezelligheid",,@RaadvDweiluf @OnsCafesch,#Dinsdag #gezelligheid,444243550650511360,https://twitter.com/DeDwazeDweilers/status/444243550650511360
